Question,Option 0,Option 1,Option 2,Option 3,Answer Index,Level
"Which law states that the rate of change of momentum of an object is directly proportional to the force applied, and occurs in the direction of the force?",Newton's First Law,Newton's Second Law,Newton's Third Law,Newton's Law of Gravitation,1,Medium
What is the SI unit of pressure?,Newton,Pascal,Watt,Joule,1,Easy
What is the law that states that the total electric charge in an isolated system remains constant?,Law of Conservation of Charge,Coulomb's Law,Ohm's Law,Gauss's Law,0,Medium
What is the principle that states that the total resistance of a series circuit is equal to the sum of individual resistances?,Kirchhoff's Law,Ohm's Law,Watt's Law,Resistor Law,1,Medium
What is the process by which heat is transferred through electromagnetic waves?,Conduction,Convection,Radiation,Absorption,2,Easy
What is the unit of measurement for electric resistance?,Watt,Ampere,Ohm,Joule,2,Easy
What is the process by which an atom loses an electron and becomes positively charged?,Ionization,Fusion,Fission,Decay,0,Hard
What is the SI unit of magnetic flux?,Tesla,Henry,Ohm,Weber,3,Medium
Which type of electromagnetic waves have the highest energy?,Radio waves,Microwaves,X-rays,Visible light,2,Hard
What is the process by which an atom gains an electron and becomes negatively charged?,Ionization,Fusion,Fission,Electron Capture,3,Hard
Which scientist proposed the three laws of motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Niels Bohr,0,Easy
What is the phenomenon where light waves vibrate in a single plane?,Reflection,Refraction,Polarization,Diffraction,2,Medium
What is the process by which a gas turns into a liquid?,Melting,Freezing,Condensation,Evaporation,2,Medium
What is the unit of measurement for power?,Watt,Joule,Volt,Ohm,0,Easy
Which phenomenon occurs when a wave encounters a barrier and bends around the corners of the barrier?,Reflection,Refraction,Diffraction,Interference,2,Medium
What is the property of an object to resist changes in its rotational motion?,Inertia,Torque,Angular momentum,Centrifugal force,0,Medium
What is the process by which a gas changes directly into a solid?,Condensation,Sublimation,Evaporation,Freezing,1,Hard
What is the unit of measurement for electric current?,Volt,Ampere,Ohm,Watt,1,Easy
Which law states that the pressure of a gas is directly proportional to its temperature at constant volume?,Boyle's Law,Charles' Law,Avogadro's Law,Gay-Lussac's Law,3,Medium
What is the phenomenon where light waves change direction as they pass from one medium to another?,Reflection,Refraction,Diffraction,Interference,1,Medium
What is the SI unit of angular velocity?,Hertz,Radian,Joule,Watt,1,Medium
What is the unit of measurement for luminous intensity?,Candela,Lumen,Lux,Watt,0,Easy
What is the process of heat transfer through the motion of particles in a solid?,Conduction,Convection,Radiation,Absorption,0,Easy
Which phenomenon occurs when two waves overlap and their amplitudes reinforce each other?,Diffraction,Refraction,Interference,Polarization,2,Medium
What is the unit of measurement for electric power?,Watt,Joule,Volt,Ampere,0,Easy
Which scientist is known for his laws of planetary motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Johannes Kepler,3,Medium
What is the unit of measurement for electric potential difference?,Watt,Volt,Ohm,Ampere,1,Easy
